map,name,rating,no of rating,type,address,Latitude,Longitude
https://www.google.com/maps/place/Indian+Coffee+House+ICH/data=!4m7!3m6!1s0x3be7c9fd21f0aaed:0xabf098c169311aff!8m2!3d19.1252597!4d72.8749363!16s%2Fg%2F11h4tc6lyc!19sChIJ7arwIf3J5zsR_xoxacGY8Ks?authuser=0&hl=en&rclk=1,Indian Coffee House ICH,3.8,-383,other,4VGF+4X3,19.1252597,72.8749363
https://www.google.com/maps/place/Bombay+Island/data=!4m7!3m6!1s0x3be7c988ba6eba97:0x4bf26177898815e3!8m2!3d19.0538947!4d72.8513516!16s%2Fg%2F11s33jxgw5!19sChIJl7puuojJ5zsR4xWIiXdh8ks?authuser=0&hl=en&rclk=1,Bombay Island,4.4,-13,other,3V32+GR6,19.0538947,72.8513516
https://www.google.com/maps/place/Brooke+Bond+Taj+Mahal+Tea+House/data=!4m7!3m6!1s0x3be7c94709994f15:0xbbc0becf5b6d3c1a!8m2!3d19.048598!4d72.8258504!16s%2Fg%2F11b8ybdc62!19sChIJFU-ZCUfJ5zsRGjxtW8--wLs?authuser=0&hl=en&rclk=1,Brooke Bond Taj Mahal Tea House,4.6,"-3,516",Tea,"Sanatan Pereira Bungalow, 36/A, St John Baptist Rd",19.048598,72.8258504
https://www.google.com/maps/place/Bajrang+tea+house/data=!4m7!3m6!1s0x3be7c9d63e914f93:0x1b38c8425a39980b!8m2!3d19.0586788!4d72.8443768!16s%2Fg%2F11sc2787wd!19sChIJk0-RPtbJ5zsRC5g5WkLIOBs?authuser=0&hl=en&rclk=1,Bajrang tea house,,,Coffee,"3R5V+FQC, Kherwadi Rd",19.0586788,72.8443768
https://www.google.com/maps/place/Jayesh+Tea+Coffee+%26+Colddrinks+House/data=!4m7!3m6!1s0x3be7c62b8547d071:0x25f410956d5df1db!8m2!3d19.0840085!4d72.9040487!16s%2Fg%2F1ptxs1g2h!19sChIJcdBHhSvG5zsR2_FdbZUQ9CU?authuser=0&hl=en&rclk=1,Jayesh Tea Coffee & Colddrinks House,3.5,-2,Tea,"Shop No: 5 , Cama Lane Station Road Ghatkopar(W",19.0840085,72.9040487
https://www.google.com/maps/place/Love+%26+Latte+R-City/data=!4m7!3m6!1s0x3be7c7c8a96abc0f:0x31c1a7d90b581f68!8m2!3d19.0999087!4d72.9171456!16s%2Fg%2F11cn6f25qw!19sChIJD7xqqcjH5zsRaB9YC9mnwTE?authuser=0&hl=en&rclk=1,Love & Latte R-City,4.5,-733,other,"3rd, Lal Bahadur Shastri Marg",19.0999087,72.9171456
https://www.google.com/maps/place/Ravi+Tea+House/data=!4m7!3m6!1s0x3be7c76568f6896b:0x427d7753a373cc4e!8m2!3d19.1050647!4d72.90037!16s%2Fg%2F11lsrbkxpr!19sChIJa4n2aGXH5zsRTsxzo1N3fUI?authuser=0&hl=en&rclk=1,Ravi Tea House,,,Coffee,"4W42+24H, Turbhe Rd",19.1050647,72.90037
https://www.google.com/maps/place/Madrasi+Kaapi+House+-+Powai/data=!4m7!3m6!1s0x3be7c7bbd129ed49:0x2f31e717296c5ed8!8m2!3d19.1141704!4d72.8930409!16s%2Fg%2F11r5tcb2bn!19sChIJSe0p0bvH5zsR2F5sKRfnMS8?authuser=0&hl=en&rclk=1,Madrasi Kaapi House - Powai,5,-7,other,"Lobby, A Wing, Kanakia Boomerang, Chandivali Farm Rd",19.1141704,72.8930409
https://www.google.com/maps/place/Tea+stall/data=!4m7!3m6!1s0x3be7c9cf875dd33f:0x1676527f77df538b!8m2!3d19.0528926!4d72.8905173!16s%2Fg%2F11t6mnj3f8!19sChIJP9Ndh8_J5zsRi1Pfd39SdhY?authuser=0&hl=en&rclk=1,Tea stall,4,-1,Tea,"3V3R+562, Hemu Kalani Marg",19.0528926,72.8905173
https://www.google.com/maps/place/Cafe+BANDRA/data=!4m7!3m6!1s0x3be7c914624db2cd:0xd7fc3cd65287330d!8m2!3d19.0624709!4d72.8310496!16s%2Fg%2F11fxvf6q4q!19sChIJzbJNYhTJ5zsRDTOHUtY8_Nc?authuser=0&hl=en&rclk=1,Cafe BANDRA,4.1,-906,other,"3R6J+XCM, Mumbai Pali, Village",19.0624709,72.8310496
https://www.google.com/maps/place/Wagh+Bakri+Tea+Lounge/data=!4m7!3m6!1s0x3be7c9b5c5c0b725:0x226def61e3e3e964!8m2!3d19.1028996!4d72.8464372!16s%2Fg%2F1tgpr25r!19sChIJJbfAxbXJ5zsRZOnj42HvbSI?authuser=0&hl=en&rclk=1,Wagh Bakri Tea Lounge,4.1,"-1,650",Tea,"Gokul Nandanvan Co-operative Housing Society, Ground Floor, Waman, Hanuman Rd, opp. Parleshwar Mandir",19.1028996,72.8464372
https://www.google.com/maps/place/Impulse+Cafe/data=!4m7!3m6!1s0x3be7cfa53850005b:0x7e33b7d97f7ca480!8m2!3d19.0306869!4d72.8540875!16s%2Fg%2F11gx_wdvx8!19sChIJWwBQOKXP5zsRgKR8f9m3M34?authuser=0&hl=en&rclk=1,Impulse Cafe,5,-2,other,"House, Plot No, Tej Gaurav, 109, Telang Rd",19.0306869,72.8540875
https://www.google.com/maps/place/Third+Wave+Coffee/data=!4m7!3m6!1s0x3be7c77900e70b2f:0xc40f9b738d734a27!8m2!3d19.0996976!4d72.9166685!16s%2Fg%2F11t1byy9yd!19sChIJLwvnAHnH5zsRJ0pzjXObD8Q?authuser=0&hl=en&rclk=1,Third Wave Coffee,4.9,-578,other,"R City Mall, G 73A, Lal Bahadur Shastri Marg",19.0996976,72.9166685
https://www.google.com/maps/place/Bismillah+Tea+House/data=!4m7!3m6!1s0x3be7cf56ff8e6cab:0x9353fbb04ee2242a!8m2!3d19.0322727!4d72.8958154!16s%2Fg%2F1ptzgrbb7!19sChIJq2yO_1bP5zsRKiTiTrD7U5M?authuser=0&hl=en&rclk=1,Bismillah Tea House,3.5,-17,Tea,"Shop No. 7, S.V.P. Nagar, Ramakrishna Chemburkar Marg",19.0322727,72.8958154
https://www.google.com/maps/place/Lobby+Lounge/data=!4m7!3m6!1s0x3be7c901ff3ce267:0x6debb3e712813172!8m2!3d19.0778887!4d72.851184!16s%2Fg%2F1ptvtfp1l!19sChIJZ-I8_wHJ5zsRcjGBEuez620?authuser=0&hl=en&rclk=1,Lobby Lounge,4.8,-74,other,"Grand Hyatt Mumbai Hotel and Residences Bandra Kurla Complex Vicinity, Off, Western Express Hwy",19.0778887,72.851184
https://www.google.com/maps/place/Cafe+Sea+Side/data=!4m7!3m6!1s0x3be7c94407cf9aed:0xfdbfe070f5411480!8m2!3d19.045672!4d72.819322!16s%2Fg%2F1tfjc_w2!19sChIJ7ZrPB0TJ5zsRgBRB9XDgv_0?authuser=0&hl=en&rclk=1,Cafe Sea Side,3,-368,other,"2RW9+7P8, Bandstand Promenade, BJ Road, Opposite Taj Lands End",19.045672,72.819322
https://www.google.com/maps/place/Malati+Tea+House/data=!4m7!3m6!1s0x3be7c62bfecebfc3:0xb1aa433d6b02fe4e!8m2!3d19.0820016!4d72.9044148!16s%2Fg%2F11b808f_lp!19sChIJw7_O_ivG5zsRTv4Caz1DqrE?authuser=0&hl=en&rclk=1,Malati Tea House,4,-3,Tea,"66b, Shop no 4, Manohardas Wadi, Ramji Ashar Ln",19.0820016,72.9044148
https://www.google.com/maps/place/Ganesh+Tea+House/data=!4m7!3m6!1s0x3be7c8b85f7f11fd:0x3665dc2ec00036bf!8m2!3d19.0533105!4d72.8768557!16s%2Fg%2F1hjhcgw60!19sChIJ_RF_X7jI5zsRvzYAwC7cZTY?authuser=0&hl=en&rclk=1,Ganesh Tea House,4.1,-118,Tea,"3V3G+8PH, VN Purav Marg",19.0533105,72.8768557
https://www.google.com/maps/place/Tea+stall/data=!4m7!3m6!1s0x3be7c7951b44122b:0x59e9ec55d8be0839!8m2!3d19.0531267!4d72.9072735!16s%2Fg%2F11gtsb3zpk!19sChIJKxJEG5XH5zsROQi-2FXs6Vk?authuser=0&hl=en&rclk=1,Tea stall,5,-1,Tea,"Ashapura tea Store Hemant Motors, Ghatla Village Rd",19.0531267,72.9072735
https://www.google.com/maps/place/The+Kettlery+Tea+Bar+%26+Kitchen+%7C+Specialty+Tea+Boutique+%28Mumbai%29/data=!4m7!3m6!1s0x3be7c9960d1d0ac3:0x60c1614e070199b9!8m2!3d19.1072641!4d72.8261466!16s%2Fg%2F11ggls7_wd!19sChIJwwodDZbJ5zsRuZkBB05hwWA?authuser=0&hl=en&rclk=1,The Kettlery Tea Bar & Kitchen | Specialty Tea Boutique (Mumbai),4.3,-103,Tea,"1, 2nd Floor, Horizon, 37 Juhu Beach",19.1072641,72.8261466
